epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33013,0,0,108.632,0,0,0,0,0,0,0,0,0,0,0,112,0,2e-05,2e-05,2e-05
2,4.89079,0,0,108.597,0,0,0,0,0,0,0,0,0,0,0,112,0,5.73e-05,5.73e-05,5.73e-05
3,6.37251,0,0,108.658,0,0,0,0,0,0,0,0,0,0,0,112,0,9.1e-05,9.1e-05,9.1e-05
4,7.94519,0,0,108.461,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001211,0.0001211,0.0001211
5,9.44927,0,0,108.591,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001476,0.0001476,0.0001476
6,11.2524,0,0,106.095,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001705,0.0001705,0.0001705
7,13.0698,0,0,104.376,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001898,0.0001898,0.0001898
8,14.8684,0,0,101.93,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002055,0.0002055,0.0002055
9,16.5504,0,0,98.5859,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002176,0.0002176,0.0002176
10,18.3118,0,0,97.4219,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002261,0.0002261,0.0002261
