epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38276,3.60322,4.717,4.21865,3.02632,0.00111,0.16667,0.00104,0.00014,0,0,0,0,4.86062,4.4555,4.12872,3.87568,2e-05,2e-05,2e-05
2,7.5631,3.39266,4.53343,4.03011,2.96609,0.00111,0.16667,0.00111,0.00016,0,0,0,0,4.84027,4.42508,4.24768,3.77727,5.9905e-05,5.9905e-05,5.9905e-05
3,9.04517,3.80255,5.17479,4.37398,3.14767,0.00222,0.33333,0.00194,0.00033,0,0,0,0,4.55083,3.78305,3.84223,3.37389,9.96833e-05,9.96833e-05,9.96833e-05
4,10.4976,3.23782,4.48123,4.16455,2.84462,0.00333,0.5,0.00471,0.00085,0.00056,0.08333,0.00038,0.00011,3.95173,3.23222,3.79791,3.00759,0.000139335,0.000139335,0.000139335
5,11.8138,2.97277,3.97492,3.52837,2.43092,0.00611,0.91667,0.29188,0.05097,0.00222,0.33333,0.09453,0.03511,2.74763,2.85279,3.2507,2.23582,0.00017886,0.00017886,0.00017886
6,13.0941,2.69433,3.60765,3.32572,2.20842,0.00611,0.91667,0.3597,0.09166,0.00278,0.41667,0.20205,0.05144,2.23362,2.62338,3.07433,1.96999,0.000218258,0.000218258,0.000218258
7,14.4236,2.50277,3.42581,3.05331,1.9788,0.00556,0.83333,0.3408,0.09465,0.00278,0.41667,0.22556,0.05195,2.28426,2.51679,3.03536,1.98019,0.00025753,0.00025753,0.00025753
8,15.7533,2.36866,2.54206,2.95178,1.96265,0.00556,0.83333,0.18908,0.03894,0.00333,0.5,0.25362,0.04493,2.40586,2.4237,3.16379,2.0856,0.000296675,0.000296675,0.000296675
9,16.956,2.24267,2.48183,2.89682,1.85152,0.00611,0.91667,0.26384,0.04481,0.00333,0.5,0.25246,0.04735,2.29744,2.41334,3.31231,2.05865,0.000335693,0.000335693,0.000335693
10,18.2116,2.44286,3.03414,2.76039,1.8562,0.00611,0.91667,0.28371,0.06097,0.00333,0.5,0.26248,0.05132,2.32701,2.44302,3.1244,1.97284,0.000374585,0.000374585,0.000374585
11,19.4202,2.12733,2.80182,2.68754,1.67159,0.00611,0.91667,0.40736,0.09569,0.00278,0.41667,0.24267,0.04815,2.23248,2.39562,3.10146,1.89845,0.00041335,0.00041335,0.00041335
12,20.67,2.35944,2.77539,2.74035,1.74583,0.00611,0.91667,0.23266,0.05037,0.00333,0.5,0.11681,0.02602,2.37283,2.29422,3.19321,1.91676,0.000451988,0.000451988,0.000451988
13,21.8971,2.26835,2.61938,2.76634,1.76033,0.00611,0.91667,0.20869,0.07023,0.00333,0.5,0.12548,0.02756,2.23015,2.19838,3.14577,1.8617,0.0004905,0.0004905,0.0004905
14,23.116,2.14508,2.51663,2.6774,1.66972,0.00611,0.91667,0.24266,0.07268,0.00389,0.58333,0.16641,0.0347,2.14744,2.21153,3.21843,1.90768,0.000528885,0.000528885,0.000528885
15,24.3492,2.15994,2.59113,2.4858,1.6383,0.00611,0.91667,0.23707,0.0623,0.005,0.75,0.17924,0.05444,2.19535,2.28953,3.24196,1.94453,0.000567143,0.000567143,0.000567143
16,25.5659,2.13476,2.53772,2.66647,1.67888,0.00611,0.91667,0.14655,0.02785,0.00389,0.58333,0.1107,0.01735,2.25975,2.3792,3.2726,2.02015,0.000605275,0.000605275,0.000605275
17,26.8171,2.02179,2.44225,2.45569,1.64602,0.00556,0.83333,0.05907,0.01443,0.00389,0.58333,0.08171,0.02112,2.44334,2.36759,3.28083,2.17348,0.00064328,0.00064328,0.00064328
18,28.028,2.05718,2.50714,2.62035,1.74145,0.00556,0.83333,0.25423,0.03866,0.00444,0.66667,0.21009,0.03184,2.38576,2.3,3.25993,2.2505,0.000681158,0.000681158,0.000681158
19,29.2353,2.06575,2.06943,2.50855,1.69936,0.00556,0.83333,0.22902,0.05888,0.00444,0.66667,0.15163,0.02965,2.58096,2.08623,3.29797,2.62456,0.00071891,0.00071891,0.00071891
20,30.4702,1.95881,2.10467,2.30676,1.5995,0.00556,0.83333,0.10504,0.02441,0.00444,0.66667,0.07163,0.01389,2.50247,1.98146,3.46445,2.6646,0.000756535,0.000756535,0.000756535
21,31.7244,2.15372,2.53886,2.54635,1.69454,0.00556,0.83333,0.12202,0.02377,0.005,0.75,0.12575,0.02886,2.42909,1.97842,3.35034,2.35264,0.000794033,0.000794033,0.000794033
22,32.9603,2.0662,2.43012,2.36019,1.63004,0.00611,0.91667,0.08546,0.02774,0.005,0.75,0.08879,0.01878,2.23167,1.94218,3.2694,2.2674,0.000831405,0.000831405,0.000831405
23,34.1969,1.89684,2.31559,2.29222,1.60122,0.01379,0.66667,0.10005,0.02542,0.01034,0.5,0.10422,0.01874,2.38197,2.05912,3.17428,2.36198,0.00086865,0.00086865,0.00086865
24,35.4118,1.93965,2.59095,2.29938,1.59327,0.16348,0.08333,0.12923,0.03466,0.15834,0.08333,0.17173,0.03345,2.51004,2.17385,3.08906,2.48041,0.000905768,0.000905768,0.000905768
25,36.6612,2.13113,2.29507,2.39566,1.67717,0.39546,0.33333,0.24435,0.06542,0.39546,0.33333,0.19177,0.02707,2.36232,2.206,3.11887,2.44774,0.00094276,0.00094276,0.00094276
26,37.8847,1.7913,2.21907,2.2195,1.52205,1,0.24669,0.32939,0.07403,0.31097,0.30258,0.1793,0.02135,2.33511,2.05931,2.90407,2.53363,0.000979625,0.000979625,0.000979625
27,39.1766,2.05828,2.03113,2.37866,1.60714,0.59516,0.24597,0.29173,0.06531,0.30816,0.25,0.30401,0.05159,2.23063,1.90061,2.92732,2.45119,0.00101636,0.00101636,0.00101636
28,40.3683,1.96075,2.18677,2.24668,1.58584,0.59516,0.24597,0.29173,0.06531,0.30816,0.25,0.30401,0.05159,2.23063,1.90061,2.92732,2.45119,0.00105298,0.00105298,0.00105298
29,41.6204,1.91047,2.08159,2.20628,1.60496,0.18601,0.16667,0.16955,0.0338,0.29538,0.25,0.21307,0.05496,2.47298,1.85231,3.02556,2.44908,0.00108946,0.00108946,0.00108946
30,42.8637,1.91088,2.07105,2.31877,1.57544,0.20456,0.16667,0.16219,0.0457,0.51867,0.33333,0.29246,0.08594,2.66576,1.72839,3.07981,2.37194,0.00112582,0.00112582,0.00112582
31,44.0632,1.84204,2.03698,2.28665,1.52547,0.20456,0.16667,0.16219,0.0457,0.51867,0.33333,0.29246,0.08594,2.66576,1.72839,3.07981,2.37194,0.00116205,0.00116205,0.00116205
32,45.3552,1.87036,2.20741,2.15144,1.47715,0.77216,0.25,0.35287,0.08341,0.71001,0.25,0.36535,0.1388,2.46185,1.68763,2.76702,2.25367,0.00119816,0.00119816,0.00119816
33,46.6389,1.86983,1.92676,2.02957,1.4889,0.9371,0.33333,0.47807,0.14196,0.9371,0.33333,0.42126,0.17332,2.33145,1.72042,2.72962,2.25776,0.00123413,0.00123413,0.00123413
34,47.819,1.74431,2.09726,1.93773,1.43322,0.9371,0.33333,0.47807,0.14196,0.9371,0.33333,0.42126,0.17332,2.33145,1.72042,2.72962,2.25776,0.00126998,0.00126998,0.00126998
35,49.0745,1.96745,2.08534,2.02719,1.51346,0.52065,0.41667,0.32082,0.11016,0.5503,0.33333,0.30161,0.11925,2.46724,1.85232,2.72348,2.19172,0.00130571,0.00130571,0.00130571
36,50.3585,1.79304,1.92149,1.97739,1.49481,0.39875,0.33333,0.27466,0.08788,0.4851,0.33333,0.32767,0.13287,2.4731,1.82618,3.02802,2.17266,0.00134131,0.00134131,0.00134131
37,51.5788,1.74294,1.79977,1.99609,1.42102,0.39875,0.33333,0.27466,0.08788,0.4851,0.33333,0.32767,0.13287,2.4731,1.82618,3.02802,2.17266,0.00137678,0.00137678,0.00137678
38,52.8772,1.6756,1.80387,2.0011,1.39188,0.181,0.25,0.20051,0.05808,0.5406,0.25,0.28144,0.09861,2.72623,1.88627,3.08883,2.27116,0.00141212,0.00141212,0.00141212
39,54.154,1.76267,2.29697,2.05304,1.4309,0.4852,0.16667,0.25363,0.06218,0.51855,0.25,0.22905,0.0694,2.8614,2.04479,2.96003,2.27209,0.00144734,0.00144734,0.00144734
40,55.31,1.77806,2.08259,1.94771,1.47977,0.4852,0.16667,0.25363,0.06218,0.51855,0.25,0.22905,0.0694,2.8614,2.04479,2.96003,2.27209,0.00148244,0.00148244,0.00148244
41,56.5354,1.81722,2.2824,1.98648,1.43845,0.98669,0.33333,0.35976,0.1138,0.98669,0.33333,0.34508,0.10649,3.01909,2.25044,2.7981,2.4235,0.0015174,0.0015174,0.0015174
42,57.7884,1.72451,1.96412,1.88604,1.36874,0.77946,0.33333,0.32298,0.07726,0.56247,0.25,0.20949,0.10198,2.92024,2.54098,2.69048,2.51638,0.00155224,0.00155224,0.00155224
43,58.9854,1.725,1.61364,1.85036,1.40405,0.77946,0.33333,0.32298,0.07726,0.56247,0.25,0.20949,0.10198,2.92024,2.54098,2.69048,2.51638,0.00158695,0.00158695,0.00158695
44,60.2068,1.76353,1.91744,1.918,1.40197,0.45145,0.33333,0.27093,0.10747,0.43729,0.33333,0.26509,0.12616,2.8194,2.31671,2.48056,2.54092,0.00162154,0.00162154,0.00162154
45,61.4093,1.71322,1.74322,1.88606,1.44758,0.45145,0.33333,0.27093,0.10747,0.43729,0.33333,0.26509,0.12616,2.8194,2.31671,2.48056,2.54092,0.00165599,0.00165599,0.00165599
46,62.6346,1.75215,1.92887,1.92307,1.41534,0.67977,0.41667,0.39947,0.11839,0.44011,0.25,0.23993,0.10859,2.90347,2.15928,2.39533,2.6913,0.00169033,0.00169033,0.00169033
47,63.8337,1.7064,1.68811,1.8413,1.36991,0.67977,0.41667,0.39947,0.11839,0.44011,0.25,0.23993,0.10859,2.90347,2.15928,2.39533,2.6913,0.00172453,0.00172453,0.00172453
48,65.1735,1.78655,1.97258,1.82708,1.42703,0.73701,0.33333,0.34198,0.16566,0.73701,0.33333,0.4004,0.18171,2.92865,1.97889,2.41325,2.76452,0.00175861,0.00175861,0.00175861
49,66.3798,1.73794,1.75409,1.87957,1.41689,0.73701,0.33333,0.34198,0.16566,0.73701,0.33333,0.4004,0.18171,2.92865,1.97889,2.41325,2.76452,0.00179256,0.00179256,0.00179256
50,67.6326,1.74709,1.84845,1.88724,1.41086,0.78941,0.33333,0.37082,0.09905,0.68306,0.41667,0.43795,0.0992,2.76874,2.53282,2.54673,2.89564,0.00182639,0.00182639,0.00182639
51,68.8418,1.79038,2.3978,1.77367,1.38187,0.78941,0.33333,0.37082,0.09905,0.68306,0.41667,0.43795,0.0992,2.76874,2.53282,2.54673,2.89564,0.00184167,0.00184167,0.00184167
52,70.0907,1.62604,1.99292,1.79366,1.41197,0.22102,0.33333,0.10228,0.03551,0.28244,0.41667,0.2032,0.05234,3.09958,2.13191,3.00022,2.93529,0.0018385,0.0018385,0.0018385
53,71.2923,1.82682,2.1619,1.85597,1.41037,0.22102,0.33333,0.10228,0.03551,0.28244,0.41667,0.2032,0.05234,3.09958,2.13191,3.00022,2.93529,0.00183533,0.00183533,0.00183533
54,72.5944,1.83404,1.70783,1.94284,1.47599,0.40513,0.25,0.25437,0.12377,0.52866,0.5621,0.46634,0.16413,2.84839,2.05809,2.98819,2.8523,0.00183217,0.00183217,0.00183217
55,73.8326,1.64853,1.7772,1.81908,1.36625,0.40513,0.25,0.25437,0.12377,0.52866,0.5621,0.46634,0.16413,2.84839,2.05809,2.98819,2.8523,0.001829,0.001829,0.001829
56,75.1095,1.6502,1.83614,1.75229,1.39462,0.50663,0.25,0.23371,0.06674,0.55691,0.33333,0.29214,0.10733,2.78424,2.15465,2.70751,2.64292,0.00182583,0.00182583,0.00182583
57,76.4116,1.79975,1.97406,1.85674,1.41524,0.50663,0.25,0.23371,0.06674,0.55691,0.33333,0.29214,0.10733,2.78424,2.15465,2.70751,2.64292,0.00182267,0.00182267,0.00182267
58,77.6446,1.55481,2.13121,1.77947,1.34952,0.55055,0.33333,0.37276,0.09176,0.62434,0.41667,0.43889,0.15214,2.59709,1.91879,2.38199,2.41819,0.0018195,0.0018195,0.0018195
59,78.8483,1.66652,1.70424,1.79841,1.40358,0.55055,0.33333,0.37276,0.09176,0.62434,0.41667,0.43889,0.15214,2.59709,1.91879,2.38199,2.41819,0.00181633,0.00181633,0.00181633
60,80.1219,1.66314,2.12522,1.78306,1.39838,0.56256,0.25,0.25688,0.08298,1,0.23863,0.37725,0.14557,2.56673,1.89992,2.34191,2.31011,0.00181317,0.00181317,0.00181317
61,81.3064,1.62424,1.96667,1.73281,1.38205,0.56256,0.25,0.25688,0.08298,1,0.23863,0.37725,0.14557,2.56673,1.89992,2.34191,2.31011,0.00181,0.00181,0.00181
62,82.6246,1.60733,1.67002,1.8562,1.39791,0.65429,0.25,0.25463,0.08652,0.65429,0.25,0.29238,0.1007,2.60908,1.90884,2.56148,2.48926,0.00180683,0.00180683,0.00180683
63,83.9268,1.67493,2.04086,1.68372,1.35323,0.65429,0.25,0.25463,0.08652,0.65429,0.25,0.29238,0.1007,2.60908,1.90884,2.56148,2.48926,0.00180367,0.00180367,0.00180367
64,85.4322,1.55837,1.76112,1.7524,1.35341,0.69422,0.25,0.26054,0.10138,0.69422,0.25,0.30696,0.13276,2.68899,1.85027,2.3808,2.55292,0.0018005,0.0018005,0.0018005
65,87.3353,1.69667,1.94453,1.69313,1.32494,0.69422,0.25,0.26054,0.10138,0.69422,0.25,0.30696,0.13276,2.68899,1.85027,2.3808,2.55292,0.00179733,0.00179733,0.00179733
66,89.0698,1.5243,1.57353,1.63368,1.25265,0.70221,0.25,0.29331,0.12515,0.41531,0.33333,0.34049,0.1527,2.54733,1.97853,2.22528,2.42457,0.00179417,0.00179417,0.00179417
67,90.8629,1.67867,1.95574,1.7591,1.36671,0.70221,0.25,0.29331,0.12515,0.41531,0.33333,0.34049,0.1527,2.54733,1.97853,2.22528,2.42457,0.001791,0.001791,0.001791
68,92.5893,1.36741,1.68334,1.46335,1.208,0.27965,0.33333,0.26225,0.12718,0.46104,0.41667,0.40818,0.18585,2.46996,1.88379,2.35157,2.34855,0.00178783,0.00178783,0.00178783
69,94.1147,1.60072,1.92906,1.56327,1.27158,0.27965,0.33333,0.26225,0.12718,0.46104,0.41667,0.40818,0.18585,2.46996,1.88379,2.35157,2.34855,0.00178467,0.00178467,0.00178467
70,95.8501,1.45421,1.79534,1.43086,1.24192,0.59799,0.41667,0.42196,0.16974,0.8549,0.49216,0.49865,0.19568,2.35812,1.81292,2.33559,2.07952,0.0017815,0.0017815,0.0017815
71,97.1994,1.51772,1.66932,1.49444,1.20922,0.59799,0.41667,0.42196,0.16974,0.8549,0.49216,0.49865,0.19568,2.35812,1.81292,2.33559,2.07952,0.00177833,0.00177833,0.00177833
72,98.9791,1.52607,1.66195,1.56302,1.28767,0.36318,0.41667,0.24316,0.07744,0.64488,0.41667,0.41429,0.20449,2.15883,1.85891,2.4006,1.85526,0.00177517,0.00177517,0.00177517
73,101.113,1.48174,1.37624,1.7621,1.25012,0.36318,0.41667,0.24316,0.07744,0.64488,0.41667,0.41429,0.20449,2.15883,1.85891,2.4006,1.85526,0.001772,0.001772,0.001772
74,102.876,1.42997,1.71888,1.50469,1.20847,0.29172,0.41667,0.25191,0.09181,0.52107,0.41667,0.40335,0.17305,2.12002,1.97095,2.41909,1.97845,0.00176883,0.00176883,0.00176883
75,104.232,1.49239,1.49611,1.48394,1.24421,0.29172,0.41667,0.25191,0.09181,0.52107,0.41667,0.40335,0.17305,2.12002,1.97095,2.41909,1.97845,0.00176567,0.00176567,0.00176567
76,105.554,1.40049,1.51725,1.44891,1.19959,0.25527,0.5,0.28394,0.12177,0.46049,0.33333,0.34374,0.14662,1.96477,1.84309,2.49484,2.04449,0.0017625,0.0017625,0.0017625
77,106.807,1.50494,1.66863,1.44148,1.18582,0.25527,0.5,0.28394,0.12177,0.46049,0.33333,0.34374,0.14662,1.96477,1.84309,2.49484,2.04449,0.00175933,0.00175933,0.00175933
78,108.177,1.52717,1.63298,1.52114,1.2893,0.33729,0.25,0.23691,0.09747,0.3608,0.33333,0.26737,0.1259,2.17066,1.84729,2.59401,2.45283,0.00175617,0.00175617,0.00175617
79,109.396,1.44306,1.66792,1.44451,1.15571,0.33729,0.25,0.23691,0.09747,0.3608,0.33333,0.26737,0.1259,2.17066,1.84729,2.59401,2.45283,0.001753,0.001753,0.001753
80,110.722,1.70384,1.63727,1.66271,1.25037,0.36952,0.41667,0.27638,0.05324,0.42792,0.33333,0.29244,0.14476,2.28351,2.13345,2.76066,2.58922,0.00174983,0.00174983,0.00174983
81,111.976,1.41322,1.36474,1.33148,1.19226,0.36952,0.41667,0.27638,0.05324,0.42792,0.33333,0.29244,0.14476,2.28351,2.13345,2.76066,2.58922,0.00174667,0.00174667,0.00174667
82,113.287,1.52557,1.47807,1.57974,1.21733,0.28286,0.41667,0.21458,0.04288,0.40142,0.33333,0.31339,0.12228,2.35003,2.2909,2.78245,2.55373,0.0017435,0.0017435,0.0017435
83,114.548,1.3847,1.43315,1.40025,1.23394,0.28286,0.41667,0.21458,0.04288,0.40142,0.33333,0.31339,0.12228,2.35003,2.2909,2.78245,2.55373,0.00174033,0.00174033,0.00174033
84,115.962,1.28863,1.60611,1.34875,1.15924,0.21568,0.41667,0.20588,0.03814,0.41966,0.5,0.32776,0.11064,2.3224,2.09466,2.69846,2.73613,0.00173717,0.00173717,0.00173717
85,117.204,1.42596,1.63591,1.29829,1.17122,0.21568,0.41667,0.20588,0.03814,0.41966,0.5,0.32776,0.11064,2.3224,2.09466,2.69846,2.73613,0.001734,0.001734,0.001734
86,118.529,1.4588,1.49282,1.38916,1.15762,0.2515,0.28143,0.22102,0.04394,0.31133,0.33946,0.19304,0.05525,2.30354,1.86537,2.70326,2.54178,0.00173083,0.00173083,0.00173083
87,119.773,1.46485,1.46594,1.43038,1.20325,0.2515,0.28143,0.22102,0.04394,0.31133,0.33946,0.19304,0.05525,2.30354,1.86537,2.70326,2.54178,0.00172767,0.00172767,0.00172767
88,121.111,1.38603,1.63931,1.33972,1.19189,0.72429,0.25,0.29513,0.06529,0.32258,0.33333,0.23359,0.0564,2.29938,1.92883,2.49096,2.23771,0.0017245,0.0017245,0.0017245
89,122.346,1.37093,1.42863,1.38275,1.15654,0.72429,0.25,0.29513,0.06529,0.32258,0.33333,0.23359,0.0564,2.29938,1.92883,2.49096,2.23771,0.00172133,0.00172133,0.00172133
90,123.76,1.52083,1.65104,1.41193,1.22719,0.61276,0.41667,0.38498,0.12725,0.61276,0.41667,0.35622,0.09362,2.06888,1.91113,2.2096,2.10841,0.00171817,0.00171817,0.00171817
91,125.203,1.28264,1.34648,1.25646,1.13639,0.61276,0.41667,0.38498,0.12725,0.61276,0.41667,0.35622,0.09362,2.06888,1.91113,2.2096,2.10841,0.001715,0.001715,0.001715
92,126.597,1.35091,1.68773,1.41217,1.19337,0.44614,0.5,0.39359,0.2025,0.52244,0.41667,0.34681,0.15669,2.17124,1.80932,2.25478,2.33765,0.00171183,0.00171183,0.00171183
93,128.075,1.59206,1.69616,1.40919,1.19596,0.44614,0.5,0.39359,0.2025,0.52244,0.41667,0.34681,0.15669,2.17124,1.80932,2.25478,2.33765,0.00170867,0.00170867,0.00170867
94,129.399,1.30728,1.39963,1.26376,1.16002,0.56673,0.5,0.45798,0.16018,0.57369,0.41667,0.37984,0.15472,2.38242,1.67784,2.35547,2.40257,0.0017055,0.0017055,0.0017055
95,130.734,1.48072,1.52834,1.34892,1.17373,0.56673,0.5,0.45798,0.16018,0.57369,0.41667,0.37984,0.15472,2.38242,1.67784,2.35547,2.40257,0.00170233,0.00170233,0.00170233
96,132.104,1.33072,1.38833,1.27858,1.17814,0.62371,0.5,0.50826,0.2001,0.51975,0.41667,0.4571,0.17761,2.4269,1.66713,2.15673,2.45225,0.00169917,0.00169917,0.00169917
97,133.382,1.31719,1.59978,1.29888,1.1505,0.62371,0.5,0.50826,0.2001,0.51975,0.41667,0.4571,0.17761,2.4269,1.66713,2.15673,2.45225,0.001696,0.001696,0.001696
98,134.711,1.33241,1.30265,1.24366,1.1332,0.47236,0.58333,0.51476,0.22294,0.74049,0.4778,0.57583,0.21247,2.19961,1.63589,2.63679,2.14504,0.00169283,0.00169283,0.00169283
99,135.957,1.23627,1.38102,1.21198,1.05075,0.47236,0.58333,0.51476,0.22294,0.74049,0.4778,0.57583,0.21247,2.19961,1.63589,2.63679,2.14504,0.00168967,0.00168967,0.00168967
100,137.244,1.37794,1.45242,1.23154,1.12614,0.53011,0.47186,0.44672,0.23741,0.55117,0.61546,0.56671,0.21725,2.16127,1.603,2.76522,2.04069,0.0016865,0.0016865,0.0016865
101,138.474,1.45926,1.91724,1.28315,1.17336,0.53011,0.47186,0.44672,0.23741,0.55117,0.61546,0.56671,0.21725,2.16127,1.603,2.76522,2.04069,0.00168333,0.00168333,0.00168333
102,139.77,1.40119,1.64551,1.31559,1.21857,0.51247,0.5,0.46119,0.23065,0.65233,0.5,0.5448,0.19956,2.19776,1.67142,2.75671,2.11206,0.00168017,0.00168017,0.00168017
103,140.935,1.44845,1.52554,1.2833,1.17416,0.51247,0.5,0.46119,0.23065,0.65233,0.5,0.5448,0.19956,2.19776,1.67142,2.75671,2.11206,0.001677,0.001677,0.001677
