epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75494,2.96015,4.80852,4.2457,2.55361,0.00122,0.1746,0.00091,0.00025,0.00067,0.09524,0.00045,0.00015,4.40534,4.38333,4.06503,3.46667,2e-05,2e-05,2e-05
2,4.95506,3.2802,4.70974,4.31855,2.84104,0.00111,0.15873,0.00084,0.00024,0.00056,0.07937,0.00036,0.00012,4.39967,4.34256,4.1115,3.44833,5.73e-05,5.73e-05,5.73e-05
3,6.79103,3.39944,4.71686,4.12838,2.86748,0.001,0.14286,0.00074,0.00024,0.00067,0.09524,0.00044,0.00015,4.38322,4.27696,4.11416,3.42665,9.1e-05,9.1e-05,9.1e-05
4,8.56018,3.58893,4.86753,4.69622,2.99878,0.00256,0.36508,0.00409,0.00088,0.00078,0.11111,0.00332,0.00067,3.83998,3.5705,3.72303,2.95379,0.0001211,0.0001211,0.0001211
5,10.6861,3.04052,4.41119,3.88088,2.49068,0.00422,0.60317,0.04754,0.0128,0.00133,0.19048,0.02448,0.00625,3.14688,3.56528,3.46496,2.49137,0.0001476,0.0001476,0.0001476
6,13.2798,2.738,3.71127,3.3683,2.20765,0.00489,0.69841,0.09532,0.02307,0.00178,0.25397,0.04598,0.01434,2.81765,3.43336,3.3821,2.32646,0.0001705,0.0001705,0.0001705
7,15.8055,2.53446,3.47054,3.06614,1.95757,0.00556,0.79365,0.16851,0.03888,0.003,0.42857,0.1946,0.0429,2.41254,2.91738,3.33026,2.22059,0.0001898,0.0001898,0.0001898
8,18.6634,2.35483,2.88054,3.26954,1.86148,0.00567,0.80952,0.19146,0.04463,0.00311,0.44444,0.06826,0.01206,2.24926,2.78639,3.18543,2.18028,0.0002055,0.0002055,0.0002055
9,20.6837,2.1004,2.58895,3.00108,1.8085,0.00567,0.80952,0.20833,0.05135,0.00322,0.46032,0.02739,0.00535,2.21703,2.82995,3.13473,2.12957,0.0002176,0.0002176,0.0002176
10,23.0137,2.47929,3.32118,2.96727,1.92631,0.00567,0.80952,0.23788,0.0594,0.00356,0.50794,0.02944,0.00508,2.20028,2.79,3.09726,2.09766,0.0002261,0.0002261,0.0002261
11,27.3625,2.21979,2.79384,4.07177,1.78426,0.00556,0.79365,0.22399,0.06097,0.00378,0.53968,0.03446,0.00564,2.16545,2.73053,3.12513,2.06798,0.000231,0.000231,0.000231
12,29.3734,1.96708,2.62129,3.32471,1.66812,0.00567,0.80952,0.23242,0.06473,0.00356,0.50794,0.05719,0.00869,2.14761,2.62821,3.11672,2.0175,0.0002323,0.0002323,0.0002323
13,31.2598,2.16106,2.55428,3.70956,1.79714,0.00567,0.80952,0.22455,0.06078,0.00378,0.53968,0.10936,0.01706,2.14315,2.54361,3.06884,1.97218,0.00023,0.00023,0.00023
14,33.1548,1.99643,2.39476,3.33224,1.6647,0.00567,0.80952,0.18036,0.04596,0.00356,0.50794,0.11224,0.02233,2.19267,2.49884,3.09655,1.97447,0.0002241,0.0002241,0.0002241
15,35.0379,2.0711,2.23283,3.29009,1.69593,0.00578,0.8254,0.17725,0.04225,0.00367,0.52381,0.13574,0.03181,2.17022,2.45877,3.12054,1.95909,0.0002146,0.0002146,0.0002146
16,36.9352,1.95059,2.30062,3.35083,1.55974,0.00578,0.8254,0.22423,0.06572,0.00378,0.53968,0.17675,0.04425,2.11311,2.4141,3.08804,1.90501,0.0002015,0.0002015,0.0002015
17,38.9673,1.86004,2.12997,3.26766,1.54728,0.00589,0.84127,0.26705,0.08875,0.004,0.57143,0.22107,0.05302,2.06734,2.39492,3.09953,1.86498,0.0001848,0.0001848,0.0001848
18,40.9447,1.92979,2.30885,3.35047,1.57758,0.00589,0.84127,0.25661,0.0965,0.00389,0.55556,0.22093,0.05462,2.03872,2.37847,3.07881,1.84114,0.0001645,0.0001645,0.0001645
