epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8634,3.24774,4.45126,3.97655,2.75289,0,0,0,0,0,0,0,0,3.70204,3.86414,3.77898,3.14853,2e-05,2e-05,2e-05
2,17.165,2.64897,4.37337,3.45253,2.34568,0,0,0,0,0,0,0,0,3.60644,3.80536,3.82352,3.0477,5.9901e-05,5.9901e-05,5.9901e-05
3,23.8703,3.56829,5.14333,3.77216,3.01824,0,0,0,0,0,0,0,0,3.05279,3.13458,3.57885,2.64891,9.967e-05,9.967e-05,9.967e-05
4,26.9866,2.81414,4.02929,3.77018,2.31612,0,0,0,0,0,0,0,0,2.44618,2.57569,3.42174,2.25527,0.000139307,0.000139307,0.000139307
5,29.2976,2.40502,3.65921,2.97888,1.94466,0,0,0,0,0,0,0,0,2.65315,2.43764,3.3295,2.34024,0.000178812,0.000178812,0.000178812
6,31.0136,2.66137,3.73645,2.8747,2.11873,0,0,0,0,0,0,0,0,2.5277,2.2829,3.34525,2.33702,0.000218185,0.000218185,0.000218185
7,32.522,2.33043,3.05891,2.44223,1.88281,0,0,0,0,0,0,0,0,2.26008,2.18604,3.33592,2.18891,0.000257426,0.000257426,0.000257426
8,33.9674,2.26875,3.05697,2.58467,1.83237,0,0,0,0,0,0,0,0,2.18216,2.16459,3.28278,2.18569,0.000296535,0.000296535,0.000296535
9,35.3127,2.41073,3.25302,2.4691,1.97646,0,0,0,0,0,0,0,0,2.2714,2.12384,3.2363,2.27438,0.000335512,0.000335512,0.000335512
10,36.6123,2.16497,2.8469,2.48282,1.74795,0,0,0,0,0,0,0,0,2.28574,2.08183,3.19031,2.19227,0.000374357,0.000374357,0.000374357
11,37.9944,2.44922,3.05465,2.55527,1.9398,0,0,0,0,0,0,0,0,2.44288,2.07659,3.29432,2.24292,0.00041307,0.00041307,0.00041307
12,39.2104,2.30865,2.62999,2.55384,1.80107,0,0,0,0,0,0,0,0,2.51684,2.0461,3.27958,2.32731,0.000451651,0.000451651,0.000451651
13,40.4514,2.12843,2.67299,2.27616,1.70605,0,0,0,0,0,0,0,0,2.4707,2.09413,3.26013,2.40113,0.0004901,0.0004901,0.0004901
14,41.7014,2.4181,2.91802,2.48824,1.90097,0,0,0,0,0,0,0,0,2.2925,2.13881,3.3308,2.30031,0.000528417,0.000528417,0.000528417
15,43.1625,2.14486,2.63884,2.28379,1.72684,0,0,0,0,0,0,0,0,2.0513,2.06638,3.30081,2.17237,0.000566602,0.000566602,0.000566602
16,44.4897,2.03236,2.29085,2.19371,1.64939,0,0,0,0,0,0,0,0,2.00672,2.01415,3.27765,2.10491,0.000604655,0.000604655,0.000604655
17,45.7842,2.21253,2.53816,2.2852,1.64259,0,0,0,0,0,0,0,0,2.10006,1.92143,3.20088,2.08348,0.000642576,0.000642576,0.000642576
18,47.0392,2.08246,2.69509,2.23872,1.62287,0,0,0,0,0,0,0,0,2.20642,1.90701,3.1569,2.13842,0.000680365,0.000680365,0.000680365
19,48.2854,2.09315,2.50135,2.26979,1.68142,0,0,0,0,0,0,0,0,2.20667,1.99082,3.18712,2.14188,0.000718022,0.000718022,0.000718022
20,49.6038,2.1251,2.28101,2.27498,1.71171,0,0,0,0,0,0,0,0,2.0442,2.17476,3.22598,2.09136,0.000755547,0.000755547,0.000755547
21,50.9217,2.09832,2.67674,2.29388,1.63861,0,0,0,0,0,0,0,0,2.08888,2.15966,3.12268,2.01652,0.00079294,0.00079294,0.00079294
22,52.2469,2.08622,2.31506,2.1921,1.6839,1,0.07692,0.53845,0.16153,1,0.07692,0.53845,0.10769,2.17482,2.20521,3.0654,1.98929,0.000830201,0.000830201,0.000830201
23,53.5199,1.95094,2.24641,2.09988,1.62164,1,0.15385,0.57691,0.17673,1,0.15385,0.57691,0.17307,2.15468,2.15894,3.17003,1.99943,0.00086733,0.00086733,0.00086733
