epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43323,3.13329,4.5846,4.25424,2.67387,0.00111,0.14286,0.00077,0.00026,0.00111,0.14286,0.00082,0.00038,4.43998,4.2144,3.89082,3.3136,2e-05,2e-05,2e-05
2,10.6978,3.4339,4.44895,4.61249,3.01892,0.00111,0.14286,0.00074,0.00022,0.00111,0.14286,0.00078,0.0003,4.41573,4.17117,3.88117,3.25423,5.9905e-05,5.9905e-05,5.9905e-05
3,11.8582,2.89851,4.5773,4.25395,2.40697,0.00278,0.35714,0.00361,0.00052,0.00111,0.14286,0.00091,0.00038,3.97796,3.60329,3.87293,2.939,9.96833e-05,9.96833e-05,9.96833e-05
4,13.2286,2.98569,3.71019,4.63471,2.63295,0.00444,0.57143,0.01303,0.00326,0.00167,0.21429,0.0104,0.00137,3.56852,3.31439,3.57154,2.75043,0.000139335,0.000139335,0.000139335
5,14.6043,2.72191,3.27936,3.3886,2.26991,0.00611,0.78571,0.27435,0.04819,0.00278,0.35714,0.13436,0.02982,2.78478,3.19334,3.24885,2.42627,0.00017886,0.00017886,0.00017886
6,16.1875,2.29196,2.98523,2.92706,1.93461,0.00611,0.78571,0.19124,0.04319,0.00333,0.42857,0.18291,0.03877,2.65434,3.38274,3.15081,2.27,0.000218258,0.000218258,0.000218258
7,19.7248,2.32463,3.54451,3.24342,2.0139,0.00556,0.71429,0.18412,0.05631,0.00278,0.35714,0.21373,0.05865,2.65055,3.48844,3.12199,2.33436,0.00025753,0.00025753,0.00025753
8,21.0165,2.17293,2.38977,3.01395,1.87421,0.00667,0.85714,0.23695,0.07226,0.00278,0.35714,0.18557,0.05355,2.5162,3.51562,3.06336,2.22048,0.000296675,0.000296675,0.000296675
9,22.2878,2.31585,2.81777,3.32223,1.81179,0.00722,0.92857,0.23993,0.0822,0.00278,0.35714,0.25336,0.05766,2.4339,3.47497,3.04747,2.1936,0.000335693,0.000335693,0.000335693
10,23.7057,2.03791,2.56903,2.95171,1.71087,0.00722,0.92857,0.22014,0.05033,0.00278,0.35714,0.19684,0.04767,2.44673,3.51753,3.03306,2.21453,0.000374585,0.000374585,0.000374585
11,25.0644,2.22699,2.55069,2.82512,1.74207,0.00778,1,0.13076,0.03525,0.00278,0.35714,0.12033,0.02365,2.45917,3.48661,3.08331,2.26597,0.00041335,0.00041335,0.00041335
12,26.4322,2.18984,2.18099,2.98335,1.88147,0.00667,0.85714,0.16021,0.04115,0.00278,0.35714,0.1043,0.01093,2.46227,3.51738,3.0496,2.16349,0.000451988,0.000451988,0.000451988
13,27.807,1.87139,2.21159,2.54732,1.65196,0.00778,1,0.15183,0.04418,0.00278,0.35714,0.08575,0.00871,2.60367,3.82492,3.07237,2.25488,0.0004905,0.0004905,0.0004905
14,29.1655,2.02949,2.35852,2.65722,1.7415,0.00722,0.92857,0.271,0.06177,0.00278,0.35714,0.18209,0.02037,2.71349,4.21341,3.08139,2.36427,0.000528885,0.000528885,0.000528885
15,30.4902,2.01811,2.01212,2.31946,1.60129,0.00722,0.92857,0.21763,0.06033,0.00278,0.35714,0.19119,0.02183,2.69844,4.32358,3.00345,2.43269,0.000567143,0.000567143,0.000567143
16,32.4587,1.97067,2.27585,2.60888,1.64002,0.00778,1,0.32397,0.064,0.00278,0.35714,0.16368,0.0272,2.73318,4.35376,3.03378,2.58882,0.000605275,0.000605275,0.000605275
17,33.7456,1.80447,1.92219,2.4626,1.53117,0.00722,0.92857,0.33287,0.06897,0.00278,0.35714,0.1834,0.03424,2.74385,4.10642,3.04297,2.65122,0.00064328,0.00064328,0.00064328
18,35.0087,1.90142,2.35348,2.81452,1.64367,0.00722,0.92857,0.32402,0.06882,0.00278,0.35714,0.14971,0.04208,2.82307,3.7489,3.01855,2.47305,0.000681158,0.000681158,0.000681158
19,36.3962,1.7485,1.90582,2.22455,1.55048,0.00667,0.85714,0.16275,0.04511,0.00333,0.42857,0.19206,0.02712,2.74852,3.35969,3.01427,2.38953,0.00071891,0.00071891,0.00071891
20,37.69,1.73581,1.5434,2.39324,1.46475,0.00667,0.85714,0.1095,0.03375,0.00619,0.35714,0.14771,0.02492,2.77355,3.14852,2.97039,2.42984,0.000756535,0.000756535,0.000756535
21,38.9989,1.71075,1.73891,2.84848,1.54099,0.00722,0.92857,0.11585,0.03447,0.48433,0.14286,0.15912,0.02811,2.85406,3.12456,2.87424,2.63259,0.000794033,0.000794033,0.000794033
22,40.3556,1.6463,2.20505,2.23787,1.45264,0.19715,0.29867,0.14313,0.03406,0.13982,0.07143,0.12384,0.02281,2.77734,3.30789,2.89713,2.65342,0.000831405,0.000831405,0.000831405
23,41.6819,1.71024,1.7194,2.24496,1.4811,0.09829,0.57143,0.13094,0.03958,0.14601,0.07353,0.12779,0.02362,2.53895,3.20012,2.8999,2.66817,0.00086865,0.00086865,0.00086865
24,42.9539,2.12695,2.17895,2.81677,1.63038,0.17811,0.28571,0.16563,0.05493,0.23201,0.28571,0.15851,0.02742,2.47995,3.47244,2.73472,2.56219,0.000905768,0.000905768,0.000905768
25,44.2506,1.66171,1.65551,2.28198,1.47305,0.20326,0.42857,0.19917,0.08917,0.37392,0.42857,0.31871,0.05903,2.49445,3.48,2.4674,2.43218,0.00094276,0.00094276,0.00094276
26,45.5673,1.94032,1.79234,2.29676,1.47545,0.23843,0.35714,0.20257,0.04958,0.44345,0.42857,0.33212,0.07078,2.67683,3.25854,2.56364,2.5398,0.000979625,0.000979625,0.000979625
27,47.7366,1.95024,2.30361,2.53209,1.57529,0.19715,0.35714,0.16603,0.04892,0.23658,0.42857,0.25428,0.04735,2.93529,3.02153,2.51992,2.85558,0.00101636,0.00101636,0.00101636
28,48.9245,1.62953,1.87571,2.06019,1.35966,0.19715,0.35714,0.16603,0.04892,0.23658,0.42857,0.25428,0.04735,2.93529,3.02153,2.51992,2.85558,0.00105298,0.00105298,0.00105298
29,50.1089,1.86074,2.03066,2.165,1.38596,0.49025,0.14286,0.22205,0.05919,0.22505,0.28571,0.23846,0.05985,2.87832,2.51269,2.83175,2.75936,0.00108946,0.00108946,0.00108946
30,51.352,1.76813,1.91033,2.01656,1.3463,0.09439,0.17936,0.091,0.0236,0.17578,0.25979,0.10851,0.02227,3.03264,2.5432,2.97123,2.74737,0.00112582,0.00112582,0.00112582
31,52.5114,1.61176,1.40165,1.77954,1.24282,0.09439,0.17936,0.091,0.0236,0.17578,0.25979,0.10851,0.02227,3.03264,2.5432,2.97123,2.74737,0.00116205,0.00116205,0.00116205
32,53.6908,1.68319,1.80675,1.91389,1.2785,0.13616,0.12494,0.07085,0.02131,0.33166,0.21429,0.18541,0.05015,3.02526,2.66968,3.03017,2.75686,0.00119816,0.00119816,0.00119816
33,54.8767,1.74246,1.87612,1.95393,1.39484,0.17922,0.14286,0.11708,0.03809,0.39279,0.32498,0.25774,0.04997,2.95532,2.33316,2.81285,2.86014,0.00123413,0.00123413,0.00123413
