epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82112,3.77733,4.64725,4.39002,3.08237,0.00111,0.16667,0.00109,0.00043,0.00111,0.16667,0.0014,0.00043,4.13699,3.88595,3.94168,3.5028,2e-05,2e-05,2e-05
2,9.1931,3.59046,4.90915,4.04607,2.93667,0.00056,0.08333,0.0006,0.00026,0.00111,0.16667,0.00153,0.00041,4.14128,3.8167,4.01294,3.48606,5.9905e-05,5.9905e-05,5.9905e-05
3,10.3624,4.07554,4.62568,4.40742,3.27517,0.00278,0.41667,0.00524,0.00129,0.00222,0.33333,0.00699,0.00184,3.44039,3.04301,3.53344,2.78628,9.96833e-05,9.96833e-05,9.96833e-05
4,11.7334,3.16763,4.41276,3.96073,2.66922,0.005,0.75,0.08328,0.02139,0.00278,0.41667,0.17915,0.04021,2.24136,2.26502,3.23819,2.04722,0.000139335,0.000139335,0.000139335
5,13.5273,2.74848,4.04767,3.37256,2.16192,0.00556,0.83333,0.27216,0.05325,0.00333,0.5,0.22522,0.05983,2.40501,1.90005,3.18895,2.02276,0.00017886,0.00017886,0.00017886
6,14.8343,2.64884,3.62127,3.10636,2.0687,0.00556,0.83333,0.15923,0.03096,0.00389,0.58333,0.2932,0.06845,2.3723,1.84028,3.2512,2.10537,0.000218258,0.000218258,0.000218258
7,16.1963,2.82615,3.86951,3.07503,2.17343,0.00556,0.83333,0.17032,0.02741,0.00389,0.58333,0.2555,0.05153,2.33518,1.80493,3.23659,2.08456,0.00025753,0.00025753,0.00025753
8,17.5878,2.36407,3.21354,2.895,1.87149,0.00556,0.83333,0.16542,0.02558,0.00444,0.66667,0.42756,0.09197,2.13768,1.65101,3.24735,2.02242,0.000296675,0.000296675,0.000296675
9,18.874,2.29184,2.97022,2.90072,1.81279,0.00556,0.83333,0.16321,0.03339,0.00444,0.66667,0.38282,0.08209,2.15987,1.68542,3.25343,1.99843,0.000335693,0.000335693,0.000335693
10,20.2181,2.33494,2.80199,2.73106,1.82561,0.00556,0.83333,0.16125,0.03169,0.00389,0.58333,0.33764,0.09156,2.14005,1.75421,3.20333,1.95404,0.000374585,0.000374585,0.000374585
