epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33827,2.9393,4.52083,4.44906,2.41696,0.00167,0.2,0.00154,0.00041,0.00056,0.06667,0.00036,0.00011,4.24128,4.52856,3.94014,3.51346,2e-05,2e-05,2e-05
2,5.55508,2.89222,4.71426,3.91977,2.62224,0.00167,0.2,0.00154,0.00037,0.00056,0.06667,0.00036,0.00011,4.25479,4.50531,3.91184,3.4667,5.9905e-05,5.9905e-05,5.9905e-05
3,7.07269,3.38492,4.38579,4.11592,3.01044,0.00167,0.2,0.00164,0.00041,0.00111,0.13333,0.00081,0.00019,4.17404,4.22857,3.81139,3.30294,9.96833e-05,9.96833e-05,9.96833e-05
4,8.37417,3.97701,4.44052,4.8115,3.22606,0.00278,0.33333,0.0029,0.00039,0.00056,0.06667,0.00052,0.00016,3.81152,3.91869,3.66897,2.95551,0.000139335,0.000139335,0.000139335
5,9.66847,3.26105,4.00585,4.01812,2.73018,0.005,0.6,0.0776,0.01121,0.00167,0.2,0.01046,0.00384,3.16902,3.9682,3.42155,2.50852,0.00017886,0.00017886,0.00017886
6,10.9961,2.835,3.3003,3.65202,2.19227,0.00556,0.66667,0.15311,0.05712,0.00167,0.2,0.02285,0.01027,2.50037,4.34955,3.32962,2.26565,0.000218258,0.000218258,0.000218258
7,12.3906,2.69554,3.31822,2.92014,2.0877,0.00556,0.66667,0.15398,0.03909,0.00222,0.26667,0.08476,0.02599,2.33164,4.40166,3.44095,2.4116,0.00025753,0.00025753,0.00025753
8,13.7232,2.53517,2.63337,2.80986,2.02751,0.005,0.6,0.05935,0.01465,0.00222,0.26667,0.0744,0.01417,2.43148,4.21483,3.28081,2.40147,0.000296675,0.000296675,0.000296675
9,14.9889,2.44166,2.90628,3.1807,1.9565,0.00556,0.66667,0.03866,0.00913,0.00222,0.26667,0.04739,0.00939,2.31777,3.73972,3.36921,2.33144,0.000335693,0.000335693,0.000335693
10,16.3257,2.38004,3.05381,3.23867,1.97789,0.005,0.6,0.04667,0.01083,0.00278,0.33333,0.02355,0.00452,2.29549,3.55813,3.41212,2.34328,0.000374585,0.000374585,0.000374585
11,17.585,2.28613,2.68973,2.80494,1.75973,0.00444,0.53333,0.11972,0.01651,0.00333,0.4,0.02483,0.00385,2.55961,3.95059,3.41337,2.48193,0.00041335,0.00041335,0.00041335
12,18.9074,2.26211,2.65986,2.83613,1.84423,0.00389,0.46667,0.12416,0.02013,0.00222,0.26667,0.02387,0.00579,2.71586,4.76848,3.4962,2.58395,0.000451988,0.000451988,0.000451988
13,20.2205,2.21644,3.00361,2.97688,1.78151,0.00444,0.53333,0.06803,0.01558,0.00222,0.26667,0.04173,0.0108,2.75505,5.24114,3.46263,2.69064,0.0004905,0.0004905,0.0004905
14,21.4938,2.40295,2.59799,2.68606,1.82095,0.00333,0.4,0.07368,0.02262,0.00222,0.26667,0.10149,0.0171,3.00134,6.08379,3.47398,2.86502,0.000528885,0.000528885,0.000528885
15,22.7998,2.30084,2.63214,2.61423,1.74928,0.00389,0.46667,0.07104,0.00817,0.00222,0.26667,0.08652,0.01844,3.06144,6.20586,3.60249,2.93825,0.000567143,0.000567143,0.000567143
