,result idx,result mask idx,comparison result idx,comparison result mask idx,x distance,y distance,x distance per frame,shape * similarity
376,29,1,32,0,-209.1652287574779,28.75101838344068,69.7217429191593,4.9542813
377,29,1,32,1,-13.83175398033623,-94.32993534469477,4.610584660112077,36.010315
378,29,1,33,0,-274.01197737668963,29.514198271957525,68.50299434417241,5.6523266
379,29,1,33,1,-68.31532536642354,34.75718261674666,17.078831341605884,138.39325
380,29,1,34,0,-337.6918582050925,63.53425717830555,67.5383716410185,4.1110325
381,29,1,34,1,11.37076807426228,82.31969148554316,2.274153614852456,254.6317
382,29,1,35,0,-56.467939627604686,58.02051541539288,9.411323271267447,4.719893
383,29,1,36,0,-131.2785797992507,101.23742032736692,18.754082828464387,11.259617
384,29,1,37,0,-188.11276734817923,18.607746930339374,23.514095918522404,6.841422
385,30,0,31,0,217.14758815279006,12.573735359967714,217.14758815279006,4.5925403
386,30,0,32,0,150.25597146209762,19.57542496453948,75.12798573104881,3.8300126
387,30,0,32,1,345.5894462392393,-103.50552876359598,172.79472311961965,26.625834
388,30,0,33,0,85.40922284288587,20.338604853056324,28.469740947628623,2.635548
389,30,0,33,1,291.105874853152,25.58158919784546,97.03529161771733,117.61851
390,30,0,34,0,21.729342014482995,54.35866375940435,5.432335503620749,2.9874568
391,30,0,34,1,370.7919682938378,73.14409806664196,92.69799207345945,234.44977
392,30,0,35,0,302.95326059197083,48.84492199649168,60.59065211839417,4.176208
393,30,0,36,0,228.14262042032482,92.06182690846572,38.023770070054134,12.265142
394,30,0,37,0,171.3084328713963,9.432153511438173,24.472633267342328,3.083913
395,30,0,38,0,109.44428981825058,-13.703012382836903,13.680536227281323,3.5067518
396,30,1,31,0,-64.094493327064,-45.02805827340063,64.094493327064,3.8088653
397,30,1,32,0,-130.98611001775646,-38.026368668828866,65.49305500887823,2.2304916
398,30,1,32,1,64.34736475938521,-161.10732239696432,32.17368237969261,25.104828
399,30,1,33,0,-195.83285863696818,-37.26318878031202,65.27761954565607,2.0446978
400,30,1,33,1,9.863793373297923,-32.020204435522885,3.287931124432641,118.785866
401,30,1,34,0,-259.51273946537106,-3.243129873963994,64.87818486634276,1.3614769
