epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76924,2.96015,4.80852,4.2457,2.55361,0.00122,0.1746,0.00091,0.00025,0.00067,0.09524,0.00045,0.00015,4.40534,4.38333,4.06503,3.46667,2e-05,2e-05,2e-05
2,4.6964,3.2802,4.70974,4.31855,2.84104,0.00111,0.15873,0.00084,0.00024,0.00056,0.07937,0.00036,0.00012,4.39967,4.34256,4.1115,3.44833,5.982e-05,5.982e-05,5.982e-05
3,6.421,3.39944,4.71686,4.12838,2.86748,0.001,0.14286,0.00074,0.00024,0.00067,0.09524,0.00044,0.00015,4.38322,4.27696,4.11416,3.42665,9.94e-05,9.94e-05,9.94e-05
4,8.13844,3.58893,4.86753,4.69622,2.99878,0.00244,0.34921,0.00447,0.00098,0.00111,0.15873,0.00514,0.00113,3.71937,3.5185,3.71715,2.87324,0.00013874,0.00013874,0.00013874
5,10.1793,3.00489,4.34199,3.82529,2.45426,0.00456,0.65079,0.07405,0.01846,0.00156,0.22222,0.02334,0.0068,2.91345,3.73836,3.36294,2.36726,0.00017784,0.00017784,0.00017784
6,12.257,2.63328,3.56541,3.27129,2.11431,0.00567,0.80952,0.05103,0.01238,0.00267,0.38095,0.08767,0.02576,2.66443,3.3325,3.42022,2.3264,0.0002167,0.0002167,0.0002167
7,14.3581,2.49483,3.42405,3.08947,1.9176,0.00556,0.79365,0.16183,0.02924,0.003,0.42857,0.07756,0.01756,2.39166,2.98456,3.30861,2.23979,0.00025532,0.00025532,0.00025532
8,16.3751,2.31383,2.84118,3.288,1.85383,0.00578,0.8254,0.15343,0.03746,0.00233,0.33333,0.02881,0.00772,2.28527,3.84451,3.2679,2.20035,0.0002937,0.0002937,0.0002937
9,18.3134,2.02447,2.45282,2.94632,1.77407,0.00533,0.7619,0.17229,0.04361,0.00222,0.31746,0.01902,0.00447,2.30088,4.03242,3.25995,2.18686,0.00033184,0.00033184,0.00033184
10,20.1958,2.40114,3.17291,2.87591,1.87191,0.00544,0.77778,0.17301,0.04436,0.00233,0.33333,0.06191,0.00905,2.29745,3.87391,3.22346,2.15862,0.00036974,0.00036974,0.00036974
11,22.2071,2.23212,2.76498,2.68538,1.69974,0.00556,0.79365,0.22483,0.0501,0.00244,0.34921,0.04259,0.00707,2.32772,3.92022,3.18579,2.1713,0.0004074,0.0004074,0.0004074
12,24.2302,2.02602,2.33959,2.72943,1.65603,0.00556,0.79365,0.1675,0.03938,0.00211,0.30159,0.02455,0.00318,2.3407,4.03206,3.21942,2.16118,0.00044482,0.00044482,0.00044482
13,26.1309,1.86697,2.2733,2.58122,1.55144,0.00533,0.7619,0.0815,0.01762,0.00233,0.33333,0.00821,0.00135,2.40312,3.92374,3.31639,2.18141,0.000482,0.000482,0.000482
14,28.0663,1.95683,2.38103,2.60191,1.59065,0.00522,0.74603,0.04437,0.01167,0.00244,0.34921,0.00484,0.00114,2.36658,3.84457,3.4064,2.18987,0.00051894,0.00051894,0.00051894
15,30.0081,2.00474,2.55501,2.67357,1.54394,0.00433,0.61905,0.03513,0.00804,0.00233,0.33333,0.00501,0.00171,2.588,3.87507,3.52486,2.27167,0.00055564,0.00055564,0.00055564
16,31.9508,1.80373,2.27836,2.38288,1.56641,0.00411,0.5873,0.07253,0.01686,0.00233,0.33333,0.03396,0.00671,2.66589,3.77274,3.60006,2.29398,0.0005921,0.0005921,0.0005921
17,33.9357,1.85612,2.07609,2.40052,1.48687,0.00367,0.52381,0.09567,0.02038,0.00244,0.34921,0.0475,0.01673,2.81448,3.65709,3.74344,2.41134,0.00062832,0.00062832,0.00062832
18,35.8505,1.81751,2.03447,2.50073,1.49317,0.00322,0.46032,0.04268,0.01277,0.002,0.28571,0.02965,0.01092,3.05505,3.68412,3.96526,2.60939,0.0006643,0.0006643,0.0006643
19,37.8429,1.75673,2.15277,2.34515,1.46588,0.00256,0.36508,0.00882,0.00224,0.00156,0.22222,0.01877,0.00237,3.34083,3.65439,4.15901,2.90024,0.00070004,0.00070004,0.00070004
20,39.7303,1.73665,2.10902,2.31201,1.38938,0.00189,0.26984,0.01147,0.00369,0.001,0.14286,0.00816,0.00319,3.69543,3.68942,4.16709,3.18271,0.00073554,0.00073554,0.00073554
21,41.7447,1.68833,1.87835,2.03837,1.43454,0.00244,0.34921,0.03313,0.00991,0.00144,0.20635,0.01376,0.00479,3.52242,3.49375,4.07746,3.04841,0.0007708,0.0007708,0.0007708
22,43.7042,1.76562,2.46206,2.22814,1.47514,0.00356,0.50794,0.07639,0.02153,0.00211,0.30159,0.05556,0.01491,3.06084,3.24947,3.77104,2.65212,0.00080582,0.00080582,0.00080582
23,45.7268,1.7874,1.93274,2.04849,1.48993,0.00433,0.61905,0.14033,0.04873,0.00267,0.38095,0.07905,0.02493,2.74677,3.17119,3.48444,2.30516,0.0008406,0.0008406,0.0008406
24,48.0117,1.85672,2.11093,2.09705,1.44843,0.00489,0.69841,0.17735,0.05311,0.00322,0.46032,0.08331,0.02197,2.57038,3.03354,3.27318,2.15431,0.00087514,0.00087514,0.00087514
25,50.1361,1.80838,2.15574,2.1172,1.41972,0.193,0.34921,0.18443,0.05369,0.17609,0.26984,0.11525,0.02837,2.4786,3.08981,3.13462,2.06588,0.00090944,0.00090944,0.00090944
26,52.3918,1.72473,2.04599,2.04907,1.44398,0.13414,0.49206,0.22566,0.07889,0.00912,0.34921,0.08673,0.02461,2.31504,3.34695,3.10127,2.01189,0.0009435,0.0009435,0.0009435
27,54.5748,1.66363,1.63623,2.10853,1.38906,0.00754,0.46032,0.20652,0.06202,0.0046,0.28571,0.09613,0.0156,2.60496,3.67513,3.19437,2.19687,0.00097732,0.00097732,0.00097732
28,56.5859,1.79868,1.84323,2.00022,1.47728,0.00754,0.46032,0.20652,0.06202,0.0046,0.28571,0.09613,0.0156,2.60496,3.67513,3.19437,2.19687,0.0010109,0.0010109,0.0010109
29,58.7635,1.85319,1.9433,1.99277,1.43007,0.3187,0.38095,0.23016,0.07613,0.48227,0.20635,0.25821,0.06565,2.3988,3.2563,3.04833,1.9962,0.00104424,0.00104424,0.00104424
30,60.978,1.70579,1.93578,2.16949,1.3809,0.67818,0.14286,0.31173,0.09527,0.77394,0.16327,0.28878,0.06688,2.37554,2.92042,2.94908,1.89079,0.00107734,0.00107734,0.00107734
31,63.9325,1.6704,1.70443,2.0064,1.36333,0.67818,0.14286,0.31173,0.09527,0.77394,0.16327,0.28878,0.06688,2.37554,2.92042,2.94908,1.89079,0.0011102,0.0011102,0.0011102
32,66.6044,1.65523,1.9738,1.91143,1.41702,0.80335,0.15873,0.28385,0.08041,0.83401,0.15956,0.28442,0.06644,2.4283,2.60537,2.96682,1.93982,0.00114282,0.00114282,0.00114282
33,68.6357,1.6204,1.57567,1.89437,1.35368,0.55307,0.15722,0.26891,0.08431,0.70955,0.19048,0.32959,0.09671,2.36425,2.40725,2.90134,2.00866,0.0011752,0.0011752,0.0011752
34,70.7589,1.68992,1.83882,1.85045,1.35293,0.55307,0.15722,0.26891,0.08431,0.70955,0.19048,0.32959,0.09671,2.36425,2.40725,2.90134,2.00866,0.00120734,0.00120734,0.00120734
