epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.69717,2.87022,5.07566,4.93764,2.37764,0.00067,0.2,0.00066,0.00015,0.00033,0.1,0.00034,8e-05,4.43048,4.48611,5.10584,3.38255,2e-05,2e-05,2e-05
2,5.48821,3.35408,4.62032,5.32307,2.95296,0.00067,0.2,0.00062,0.00019,0.00033,0.1,0.00029,8e-05,4.42074,4.43813,5.24029,3.35625,5.73e-05,5.73e-05,5.73e-05
3,7.17558,3.60298,4.73607,5.50556,2.95262,0.00067,0.2,0.00068,0.00018,0.00022,0.06667,0.00023,8e-05,4.39722,4.36907,5.23238,3.32653,9.1e-05,9.1e-05,9.1e-05
4,8.95744,3.86147,5.24531,6.46998,3.13869,0.00144,0.43333,0.00314,0.00055,0.00056,0.16667,0.00235,0.00069,3.62879,3.78998,4.51336,2.76908,0.0001211,0.0001211,0.0001211
