epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0216,2.95901,4.80697,4.24634,2.55449,0.00122,0.1746,0.00091,0.00025,0.00067,0.09524,0.00045,0.00015,4.40624,4.38164,4.06516,3.46524,2e-05,2e-05,2e-05
2,11.6929,3.28321,4.70772,4.32191,2.84543,0.00111,0.15873,0.00084,0.00024,0.00056,0.07937,0.00036,0.00012,4.40113,4.34317,4.11005,3.44941,5.9905e-05,5.9905e-05,5.9905e-05
3,13.0672,3.39715,4.71886,4.1262,2.86799,0.00278,0.39683,0.00334,0.00076,0.00122,0.1746,0.00154,0.00039,3.70935,3.66258,3.67055,2.76572,9.96833e-05,9.96833e-05,9.96833e-05
4,16.0893,3.25108,4.32436,4.31212,2.67862,0.00511,0.73016,0.06533,0.01921,0.00167,0.2381,0.04341,0.0197,2.79771,3.61146,3.33585,2.22994,0.000139335,0.000139335,0.000139335
5,17.9468,2.66028,3.78725,3.41261,2.12302,0.00511,0.73016,0.09959,0.02257,0.002,0.28571,0.04695,0.01128,2.54166,3.62029,3.33345,2.20566,0.00017886,0.00017886,0.00017886
6,19.8074,2.47711,3.32798,3.02099,1.97423,0.00522,0.74603,0.13362,0.02661,0.00256,0.36508,0.09422,0.02331,2.51913,3.31263,3.31325,2.24176,0.000218258,0.000218258,0.000218258
7,21.702,2.37067,3.18171,2.93932,1.84835,0.00567,0.80952,0.21746,0.05722,0.00322,0.46032,0.12882,0.02635,2.16756,2.89347,3.19671,2.11834,0.00025753,0.00025753,0.00025753
8,23.5932,2.17309,2.61493,3.17989,1.7546,0.00556,0.79365,0.28966,0.08065,0.003,0.42857,0.11032,0.02357,2.15915,3.12757,3.12288,2.05354,0.000296675,0.000296675,0.000296675
9,25.382,1.99944,2.44794,2.79242,1.75142,0.00544,0.77778,0.2979,0.08784,0.00311,0.44444,0.12175,0.02537,2.10683,3.33203,3.0973,1.93339,0.000335693,0.000335693,0.000335693
10,27.1715,2.31225,3.16182,2.81476,1.83363,0.00567,0.80952,0.31627,0.09597,0.00278,0.39683,0.07618,0.02267,2.10566,3.47723,3.12184,1.89205,0.000374585,0.000374585,0.000374585
11,29.0091,2.23513,2.85696,2.68357,1.67213,0.00556,0.79365,0.28889,0.07481,0.00267,0.38095,0.08229,0.02917,2.16905,3.69669,3.1395,1.91087,0.00041335,0.00041335,0.00041335
12,31.0802,2.22171,2.28882,2.65682,1.69176,0.00589,0.84127,0.25013,0.07335,0.00289,0.4127,0.07762,0.02358,2.28372,3.70905,3.15782,1.96847,0.000451988,0.000451988,0.000451988
13,34.4692,1.98828,2.26472,2.70069,1.59253,0.00578,0.8254,0.28838,0.0906,0.00322,0.46032,0.09583,0.0294,2.17787,3.19744,3.12908,1.90749,0.0004905,0.0004905,0.0004905
14,36.73,1.89085,2.35013,2.58999,1.55415,0.00567,0.80952,0.34575,0.12291,0.00333,0.47619,0.16352,0.04613,2.07349,2.88021,3.12812,1.85994,0.000528885,0.000528885,0.000528885
15,38.5061,2.02279,2.6733,2.62267,1.5777,0.00544,0.77778,0.3203,0.11623,0.00367,0.52381,0.17764,0.05622,2.08345,2.72914,3.15999,1.88446,0.000567143,0.000567143,0.000567143
16,40.0601,1.87968,2.25963,2.2772,1.55276,0.00556,0.79365,0.2679,0.09531,0.00378,0.53968,0.19049,0.05971,2.20939,2.64957,3.17816,1.92657,0.000605275,0.000605275,0.000605275
17,41.633,1.79751,2.14927,2.22157,1.39597,0.00544,0.77778,0.23709,0.07477,0.00422,0.60317,0.1479,0.04202,2.27466,2.61184,3.16273,1.92114,0.00064328,0.00064328,0.00064328
