epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85816,3.00676,4.28251,3.74649,2.54701,0,0,0,0,0,0,0,0,3.70517,3.86861,3.78102,3.15056,2e-05,2e-05,2e-05
2,8.01916,2.67429,4.43173,3.36212,2.30479,0,0,0,0,0,0,0,0,3.61539,3.80582,3.82919,3.05279,5.9901e-05,5.9901e-05,5.9901e-05
3,10.2731,3.54296,4.84187,3.66995,2.98084,0,0,0,0,0,0,0,0,3.3203,3.29744,3.74006,2.85361,9.967e-05,9.967e-05,9.967e-05
4,11.5571,2.7594,4.2497,3.76816,2.32519,0,0,0,0,0,0,0,0,3.00471,2.96328,3.54198,2.52727,0.000139307,0.000139307,0.000139307
5,12.8965,2.50814,3.425,3.17952,2.10366,0,0,0,0,0,0,0,0,2.48103,3.02542,3.3685,2.23708,0.000178812,0.000178812,0.000178812
6,14.2095,2.58286,3.83219,3.02858,2.18382,0,0,0,0,0,0,0,0,2.36838,2.80095,3.30542,2.28719,0.000218185,0.000218185,0.000218185
7,15.5245,2.3248,3.15417,2.55306,1.89401,0,0,0,0,0,0,0,0,2.29173,2.2706,3.41089,2.4177,0.000257426,0.000257426,0.000257426
8,16.8897,2.14479,2.89553,2.59498,1.796,0,0,0,0,0,0,0,0,2.45072,2.39178,3.45604,2.44195,0.000296535,0.000296535,0.000296535
9,18.2871,2.41874,3.19269,2.52943,1.95128,0,0,0,0,0,0,0,0,2.49932,2.45063,3.45408,2.48675,0.000335512,0.000335512,0.000335512
10,19.5944,2.00774,2.74049,2.53831,1.74827,0,0,0,0,0,0,0,0,2.43293,2.43579,3.5235,2.38687,0.000374357,0.000374357,0.000374357
11,20.9284,2.40979,2.85582,2.60552,2.01047,0,0,0,0,0,0,0,0,2.39905,2.53633,3.47849,2.34291,0.00041307,0.00041307,0.00041307
12,22.2424,2.13316,2.44697,2.50544,1.84987,0,0,0,0,0,0,0,0,2.28971,2.55102,3.58894,2.33023,0.000451651,0.000451651,0.000451651
13,23.5784,1.97111,2.46985,2.24207,1.75099,0,0,0,0,0,0,0,0,2.37678,2.41922,3.53848,2.34755,0.0004901,0.0004901,0.0004901
14,24.8376,2.3492,2.80769,2.47348,1.92946,0,0,0,0,0,0,0,0,2.40421,2.36837,3.43042,2.31714,0.000528417,0.000528417,0.000528417
15,26.1006,2.09254,2.51966,2.32834,1.77143,0,0,0,0,0,0,0,0,2.13712,2.46258,3.36009,2.15829,0.000566602,0.000566602,0.000566602
16,27.3679,2.01922,2.14615,2.2256,1.72603,0,0,0,0,0,0,0,0,2.14461,2.70779,3.37508,2.1745,0.000604655,0.000604655,0.000604655
17,28.7229,2.12543,2.50139,2.40216,1.71685,0,0,0,0,0,0,0,0,2.30683,2.87455,3.40033,2.25184,0.000642576,0.000642576,0.000642576
18,30.089,2.11734,2.66334,2.33918,1.71415,0,0,0,0,0,0,0,0,2.54498,2.99971,3.30086,2.40052,0.000680365,0.000680365,0.000680365
19,31.4972,2.03975,2.32751,2.26111,1.6923,0,0,0,0,0,0,0,0,2.53197,2.9996,3.24349,2.33423,0.000718022,0.000718022,0.000718022
20,32.8508,1.78219,1.99837,2.17821,1.60678,0,0,0,0,0,0,0,0,2.27695,2.67088,3.19137,2.26425,0.000755547,0.000755547,0.000755547
21,34.1268,2.00756,2.78985,2.31837,1.67338,0,0,0,0,0,0,0,0,2.40814,2.25666,3.12659,2.34497,0.00079294,0.00079294,0.00079294
22,35.496,2.01925,2.13055,2.09792,1.65916,0,0,0,0,0,0,0,0,2.57998,2.50076,3.28337,2.40258,0.000830201,0.000830201,0.000830201
23,36.761,2.03411,2.22922,2.2133,1.74254,0,0,0,0,0,0,0,0,2.59151,2.91034,3.26248,2.36056,0.00086733,0.00086733,0.00086733
24,38.1211,2.00066,2.25545,2.17118,1.59021,0.07495,0.07692,0.03151,0.0189,0,0,0,0,2.52299,3.33108,3.34971,2.31086,0.000904327,0.000904327,0.000904327
25,39.4321,1.7772,2.12611,2.01426,1.46891,0.11111,0.30769,0.08014,0.03725,0,0,0,0,2.53656,3.2067,3.91027,2.43806,0.000941192,0.000941192,0.000941192
26,40.7574,2.07657,2.27906,2.1253,1.64322,0.12949,0.30769,0.10136,0.05481,0.02203,0.07692,0.01149,0.00115,2.52328,2.43871,4.73746,2.42333,0.000977925,0.000977925,0.000977925
27,42.0857,2.07367,2.50933,2.1984,1.67607,0.10231,0.30769,0.08786,0.03901,0.07143,0.30769,0.06873,0.01161,2.73567,1.99535,5.126,2.69776,0.00101453,0.00101453,0.00101453
28,43.361,2.12176,2.83728,2.33887,1.70379,0.10231,0.30769,0.08786,0.03901,0.07143,0.30769,0.06873,0.01161,2.73567,1.99535,5.126,2.69776,0.00105099,0.00105099,0.00105099
29,44.678,2.00517,2.15483,2.07554,1.69134,0.10072,0.30769,0.07805,0.03589,0.17009,0.15385,0.08004,0.02069,2.59589,1.86492,4.51804,2.70057,0.00108733,0.00108733,0.00108733
30,46.0531,2.05912,2.36933,2.27125,1.70539,0.13445,0.38462,0.13553,0.05443,0.18823,0.53846,0.19223,0.0434,2.49514,1.74943,3.29757,2.58956,0.00112354,0.00112354,0.00112354
