epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83345,2.97205,5.16354,4.3365,2.51153,0.00122,0.1746,0.0009,0.00024,0.00067,0.09524,0.00047,0.00015,4.40815,4.39688,4.04481,3.46637,2e-05,2e-05,2e-05
2,4.80552,3.38105,4.89485,4.24581,2.90358,0.00111,0.15873,0.00083,0.00025,0.00056,0.07937,0.00036,0.00011,4.40296,4.35903,4.10928,3.44352,5.73e-05,5.73e-05,5.73e-05
3,6.56764,3.34505,4.86546,4.27629,2.8145,0.00111,0.15873,0.00086,0.00026,0.00056,0.07937,0.00037,0.00013,4.37121,4.30301,4.12173,3.40924,9.1e-05,9.1e-05,9.1e-05
4,8.30521,3.76356,5.07391,4.68946,3.13521,0.00122,0.1746,0.00095,0.00025,0.00056,0.07937,0.00037,0.00014,4.38468,4.27557,4.10221,3.3924,0.0001211,0.0001211,0.0001211
5,10.101,3.19977,4.79363,4.22036,2.59128,0.00411,0.5873,0.03249,0.01202,0.002,0.28571,0.06938,0.0145,3.03026,3.29958,3.51382,2.54161,0.0001476,0.0001476,0.0001476
6,12.1087,2.99327,4.1392,3.57192,2.38256,0.00522,0.74603,0.12877,0.03379,0.00267,0.38095,0.136,0.04598,2.59916,3.32805,3.38129,2.26688,0.0001705,0.0001705,0.0001705
7,14.2267,2.62488,3.90991,3.19543,1.9993,0.00544,0.77778,0.24148,0.04689,0.00322,0.46032,0.15201,0.04737,2.41351,3.10573,3.2677,2.21592,0.0001898,0.0001898,0.0001898
8,16.322,2.44077,3.10732,3.37227,1.97967,0.00556,0.79365,0.1006,0.02575,0.00322,0.46032,0.11937,0.02256,2.32053,3.00508,3.27121,2.18973,0.0002055,0.0002055,0.0002055
9,18.2866,2.2027,2.83254,3.04027,1.88017,0.00556,0.79365,0.13753,0.03118,0.00311,0.44444,0.07977,0.01324,2.35937,3.05106,3.22092,2.16153,0.0002176,0.0002176,0.0002176
10,20.2146,2.55903,3.49833,3.03335,2.03617,0.00556,0.79365,0.14577,0.03617,0.00322,0.46032,0.07099,0.01166,2.34655,2.98628,3.18031,2.1269,0.0002261,0.0002261,0.0002261
11,23.7426,2.32474,2.88267,4.30779,1.92399,0.00567,0.80952,0.13855,0.03582,0.00333,0.47619,0.09175,0.01374,2.36425,2.93671,3.17642,2.11031,0.000231,0.000231,0.000231
12,25.7801,2.00298,2.8047,3.22655,1.7411,0.00567,0.80952,0.14757,0.03643,0.00333,0.47619,0.09106,0.01388,2.40607,2.87928,3.1706,2.09618,0.0002323,0.0002323,0.0002323
13,27.7331,2.10715,2.58658,3.82442,1.82828,0.00556,0.79365,0.202,0.04484,0.00333,0.47619,0.08462,0.01389,2.43391,2.80253,3.16696,2.0803,0.00023,0.00023,0.00023
14,29.6632,2.04731,2.81494,3.3394,1.76363,0.00556,0.79365,0.1532,0.03331,0.00356,0.50794,0.05669,0.01261,2.47317,2.77444,3.17528,2.06896,0.0002241,0.0002241,0.0002241
15,31.5825,2.11247,2.34074,3.34868,1.79789,0.00556,0.79365,0.14745,0.02957,0.00344,0.49206,0.0642,0.0152,2.4864,2.74718,3.18881,2.07365,0.0002146,0.0002146,0.0002146
16,33.485,1.98041,2.70533,3.53188,1.61838,0.00556,0.79365,0.18145,0.03319,0.00367,0.52381,0.06505,0.01564,2.46174,2.70194,3.19936,2.05568,0.0002015,0.0002015,0.0002015
17,35.4432,2.02233,2.37959,3.76749,1.64427,0.00556,0.79365,0.17,0.03441,0.00356,0.50794,0.08893,0.02019,2.43715,2.67437,3.19105,2.03721,0.0001848,0.0001848,0.0001848
18,37.3783,2.10154,2.56792,3.72281,1.60781,0.00556,0.79365,0.19856,0.04574,0.00356,0.50794,0.11283,0.02689,2.36776,2.62465,3.17705,1.98344,0.0001645,0.0001645,0.0001645
19,39.328,1.97243,2.417,3.20031,1.67616,0.00556,0.79365,0.1894,0.05276,0.00356,0.50794,0.13678,0.03433,2.28168,2.55059,3.15362,1.94357,0.0001406,0.0001406,0.0001406
20,41.2969,1.92468,2.67831,3.50292,1.68362,0.00578,0.8254,0.21256,0.05511,0.00344,0.49206,0.15678,0.04077,2.20465,2.50261,3.13873,1.90435,0.0001131,0.0001131,0.0001131
