epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06538,0,0,108.632,0,0,0,0,0,0,0,0,0,0,0,112,0,2e-05,2e-05,2e-05
2,5.61553,0,0,108.597,0,0,0,0,0,0,0,0,0,0,0,112,0,5.73e-05,5.73e-05,5.73e-05
3,7.11993,0,0,108.658,0,0,0,0,0,0,0,0,0,0,0,112,0,9.1e-05,9.1e-05,9.1e-05
4,8.56221,0,0,108.461,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001211,0.0001211,0.0001211
5,10.0764,0,0,108.591,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001476,0.0001476,0.0001476
