epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9618,3.51212,4.87469,4.60512,3.04471,0.00144,0.20635,0.00114,0.00031,0.00067,0.09524,0.00045,0.00016,4.3566,4.27382,4.53812,3.4256,2e-05,2e-05,2e-05
2,65.3757,3.32466,4.50806,4.1635,2.72817,0.00322,0.46032,0.00417,0.00087,0.00122,0.1746,0.00159,0.00045,3.74592,3.66284,4.0589,2.85935,5.9905e-05,5.9905e-05,5.9905e-05
3,96.3166,2.61721,3.62279,3.7911,2.18659,0.00478,0.68254,0.06871,0.01672,0.00189,0.26984,0.05062,0.01207,2.88272,3.33817,3.68669,2.2776,9.96833e-05,9.96833e-05,9.96833e-05
