epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.81321,0,0,108.632,0,0,0,0,0,0,0,0,0,0,0,112,0,2e-05,2e-05,2e-05
2,4.28168,0,0,108.597,0,0,0,0,0,0,0,0,0,0,0,112,0,5.73e-05,5.73e-05,5.73e-05
3,5.73444,0,0,108.658,0,0,0,0,0,0,0,0,0,0,0,112,0,9.1e-05,9.1e-05,9.1e-05
4,7.16263,0,0,108.461,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001211,0.0001211,0.0001211
5,8.65883,0,0,108.591,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001476,0.0001476,0.0001476
6,10.3615,0,0,106.095,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001705,0.0001705,0.0001705
7,12.1743,0,0,104.376,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0001898,0.0001898,0.0001898
8,14.0057,0,0,101.93,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002055,0.0002055,0.0002055
9,15.7304,0,0,98.5859,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002176,0.0002176,0.0002176
10,17.3696,0,0,97.4219,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0002261,0.0002261,0.0002261
11,20.8704,0,0,94.7637,0,0,0,0,0,0,0,0,0,0,0,112.062,0,0.000231,0.000231,0.000231
12,22.5998,0,0,92.6137,0,0,0,0,0,0,0,0,0,0,0,112.875,0,0.0002323,0.0002323,0.0002323
13,24.2634,0,0,89.2608,0,0,0,0,0,0,0,0,0,0,0,116.438,0,0.00023,0.00023,0.00023
