epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,53.233,2.01394,2.0779,2.20188,1.66159,0.06615,0.35714,0.0713,0.01461,0.06812,0.35714,0.10898,0.03358,2.22797,2.56452,3.21827,2.33149,0.00108733,0.00108733,0.00108733
30,54.561,1.94904,2.2427,2.3238,1.63017,0.25165,0.21429,0.14925,0.04177,0.17553,0.14286,0.09058,0.03174,2.05303,2.32115,3.15569,2.14675,0.00112354,0.00112354,0.00112354
31,55.77,2.03171,2.37921,2.36092,1.69065,0.25165,0.21429,0.14925,0.04177,0.17553,0.14286,0.09058,0.03174,2.05303,2.32115,3.15569,2.14675,0.00115961,0.00115961,0.00115961
32,57.1121,1.96721,2.28905,2.40922,1.7477,0.01891,0.5,0.10337,0.02504,0.01351,0.35714,0.05665,0.01075,2.24691,2.72821,3.16499,2.46059,0.00119555,0.00119555,0.00119555
33,58.4531,2.17257,2.16714,2.27689,1.78841,0.12716,0.14286,0.05977,0.01864,0.27361,0.07143,0.03039,0.00891,2.4575,3.377,3.14666,2.74943,0.00123136,0.00123136,0.00123136
34,59.6491,1.96139,2.12553,2.03918,1.63005,0.12716,0.14286,0.05977,0.01864,0.27361,0.07143,0.03039,0.00891,2.4575,3.377,3.14666,2.74943,0.00126704,0.00126704,0.00126704
35,60.9501,2.01252,2.24483,2.18046,1.63837,0.69064,0.21429,0.20657,0.02823,0.60018,0.14286,0.12634,0.01367,2.68598,4.16891,3.2798,3.55036,0.00130258,0.00130258,0.00130258
36,62.2214,1.82299,1.99408,2.15571,1.58763,0.57216,0.21429,0.18302,0.02804,0.65694,0.07143,0.08031,0.00906,2.7347,4.66696,2.97215,3.33713,0.001338,0.001338,0.001338
37,63.4924,1.9307,1.90853,2.31379,1.77651,0.57216,0.21429,0.18302,0.02804,0.65694,0.07143,0.08031,0.00906,2.7347,4.66696,2.97215,3.33713,0.00137328,0.00137328,0.00137328
38,65.7568,1.95763,2.00743,2.0846,1.68327,0.29172,0.28571,0.16815,0.04999,0.22152,0.21429,0.07697,0.01589,2.70024,4.04626,3.05833,2.43477,0.00140843,0.00140843,0.00140843
39,67.1663,1.96949,2.52347,2.18537,1.68927,0.08908,0.28571,0.12565,0.04298,0.84767,0.07143,0.09346,0.01998,2.90273,3.51964,3.20018,2.36758,0.00144344,0.00144344,0.00144344
40,68.3703,1.81725,2.04779,2.12862,1.6494,0.08908,0.28571,0.12565,0.04298,0.84767,0.07143,0.09346,0.01998,2.90273,3.51964,3.20018,2.36758,0.00147833,0.00147833,0.00147833
41,69.6736,1.8673,2.16989,2.15725,1.63305,0.17055,0.14286,0.1137,0.04612,0.42814,0.07143,0.09708,0.01825,3.76117,3.16217,3.60896,2.92181,0.00151308,0.00151308,0.00151308
42,70.9896,1.8227,2.07063,2.04066,1.55355,0.11057,0.35714,0.13723,0.04126,0.22775,0.35714,0.16633,0.05147,3.28607,2.92525,3.16457,2.46839,0.0015477,0.0015477,0.0015477
